,asset,proportion,value,date
29,"Corporate Bonds, Funds & Precious Metals",0.0452,2983365792.839284,2022-07-23-00-00-00-000000
30,Non-U.S. Treasury Bills,0.0035112399999999,231754719.1692258,2022-07-23-00-00-00-000000
31,U.S. Treasury Bills,0.47555892,31388633062.114902,2022-07-23-00-00-00-000000
32,Reverse Repurchase Agreements,0.0012846,84788311.89118019,2022-07-23-00-00-00-000000
33,Cash & Bank Deposits,0.04975684,3284133947.2517123,2022-07-23-00-00-00-000000
34,Money Market Funds,0.08247132,5443409623.413769,2022-07-23-00-00-00-000000
35,Commercial Paper and Certificates of Deposit,0.24381708,16092821596.946,2022-07-23-00-00-00-000000
36,Other Investments(Including Digital Tokens),0.0602,3963945918.113104,2022-07-25-00-00-00-000000
37,Secured Loans(None To Affiliated Entities),0.0382,2515327808.5036635,2022-07-25-00-00-00-000000
38,"Corporate Bonds, Funds & Precious Metals",0.0452,2976251752.4703035,2022-07-25-00-00-00-000000
39,Non-U.S. Treasury Bills,0.0035112399999999,231202084.14477497,2022-07-25-00-00-00-000000
40,U.S. Treasury Bills,0.47555892,31313784713.559406,2022-07-25-00-00-00-000000
41,Reverse Repurchase Agreements,0.0012846,84586128.34564939,2022-07-25-00-00-00-000000
42,Cash & Bank Deposits,0.04975684,3276302704.5881534,2022-07-25-00-00-00-000000
43,Money Market Funds,0.08247132,5430429439.790691,2022-07-25-00-00-00-000000
44,Commercial Paper and Certificates of Deposit,0.24381708,16054447160.004255,2022-07-25-00-00-00-000000
45,Other Investments(Including Digital Tokens),0.0602,3963945918.1028695,2022-07-26-00-00-00-000000
46,Secured Loans(None To Affiliated Entities),0.0382,2515327808.49717,2022-07-26-00-00-00-000000
47,"Corporate Bonds, Funds & Precious Metals",0.0452,2976251752.46262,2022-07-26-00-00-00-000000
48,Non-U.S. Treasury Bills,0.0035112399999999,231202084.1441781,2022-07-26-00-00-00-000000
49,U.S. Treasury Bills,0.47555892,31313784713.47856,2022-07-26-00-00-00-000000
50,Reverse Repurchase Agreements,0.0012846,84586128.34543101,2022-07-26-00-00-00-000000
51,Cash & Bank Deposits,0.04975684,3276302704.5796947,2022-07-26-00-00-00-000000
52,Money Market Funds,0.08247132,5430429439.776671,2022-07-26-00-00-00-000000
53,Commercial Paper and Certificates of Deposit,0.24381708,16054447159.962809,2022-07-26-00-00-00-000000
54,Other Investments(Including Digital Tokens),0.0602,3963945918.09083,2022-07-27-00-00-00-000000
55,Secured Loans(None To Affiliated Entities),0.0382,2515327808.48953,2022-07-27-00-00-00-000000
56,"Corporate Bonds, Funds & Precious Metals",0.0452,2976251752.45358,2022-07-27-00-00-00-000000
57,Non-U.S. Treasury Bills,0.0035112399999999,231202084.14347583,2022-07-27-00-00-00-000000
58,U.S. Treasury Bills,0.47555892,31313784713.383453,2022-07-27-00-00-00-000000
59,Reverse Repurchase Agreements,0.0012846,84586128.3451741,2022-07-27-00-00-00-000000
60,Cash & Bank Deposits,0.04975684,3276302704.569744,2022-07-27-00-00-00-000000
61,Money Market Funds,0.08247132,5430429439.760178,2022-07-27-00-00-00-000000
62,Commercial Paper and Certificates of Deposit,0.24381708,16054447159.914043,2022-07-27-00-00-00-000000
63,Other Investments(Including Digital Tokens),0.0602,3963945918.016784,2022-07-28-00-00-00-000000
64,Secured Loans(None To Affiliated Entities),0.0382,2515327808.442544,2022-07-28-00-00-00-000000
65,"Corporate Bonds, Funds & Precious Metals",0.0452,2976251752.397984,2022-07-28-00-00-00-000000
66,Non-U.S. Treasury Bills,0.0035112399999999,231202084.139157,2022-07-28-00-00-00-000000
67,U.S. Treasury Bills,0.47555892,31313784712.79851,2022-07-28-00-00-00-000000
68,Reverse Repurchase Agreements,0.0012846,84586128.34359403,2022-07-28-00-00-00-000000
69,Cash & Bank Deposits,0.04975684,3276302704.5085425,2022-07-28-00-00-00-000000
70,Money Market Funds,0.08247132,5430429439.658738,2022-07-28-00-00-00-000000
71,Commercial Paper and Certificates of Deposit,0.24381708,16054447159.614147,2022-07-28-00-00-00-000000
72,Other Investments(Including Digital Tokens),0.0602,3969225458.014978,2022-07-29-00-00-00-000000
73,Secured Loans(None To Affiliated Entities),0.0382,2518677948.4413977,2022-07-29-00-00-00-000000
74,"Corporate Bonds, Funds & Precious Metals",0.0452,2980215792.396628,2022-07-29-00-00-00-000000
75,Non-U.S. Treasury Bills,0.0035112399999999,231510019.88705167,2022-07-29-00-00-00-000000
76,U.S. Treasury Bills,0.47555892,31355491230.06825,2022-07-29-00-00-00-000000
77,Reverse Repurchase Agreements,0.0012846,84698787.7635555,2022-07-29-00-00-00-000000
78,Cash & Bank Deposits,0.04975684,3280666379.3750496,2022-07-29-00-00-00-000000
79,Money Market Funds,0.08247132,5437662174.420263,2022-07-29-00-00-00-000000
80,Commercial Paper and Certificates of Deposit,0.24381708,16075829917.522837,2022-07-29-00-00-00-000000
81,Other Investments(Including Digital Tokens),0.0602,3976630058.013172,2022-07-30-00-00-00-000000
82,Secured Loans(None To Affiliated Entities),0.0382,2523376548.440252,2022-07-30-00-00-00-000000
83,"Corporate Bonds, Funds & Precious Metals",0.0452,2985775392.395272,2022-07-30-00-00-00-000000
84,Non-U.S. Treasury Bills,0.0035112399999999,231941902.4069464,2022-07-30-00-00-00-000000
85,U.S. Treasury Bills,0.47555892,31413984977.21398,2022-07-30-00-00-00-000000
86,Reverse Repurchase Agreements,0.0012846,84856793.56351696,2022-07-30-00-00-00-000000
87,Cash & Bank Deposits,0.04975684,3286786470.6935573,2022-07-30-00-00-00-000000
88,Money Market Funds,0.08247132,5447806146.777789,2022-07-30-00-00-00-000000
89,Commercial Paper and Certificates of Deposit,0.24381708,16105819418.35552,2022-07-30-00-00-00-000000
90,Other Investments(Including Digital Tokens),0.0602,3985118258.013172,2022-07-31-00-00-00-000000
91,Secured Loans(None To Affiliated Entities),0.0382,2528762748.440252,2022-07-31-00-00-00-000000
92,"Corporate Bonds, Funds & Precious Metals",0.0452,2992148592.395272,2022-07-31-00-00-00-000000
93,Non-U.S. Treasury Bills,0.0035112399999999,232436987.2469464,2022-07-31-00-00-00-000000
94,U.S. Treasury Bills,0.47555892,31481038784.93398,2022-07-31-00-00-00-000000
95,Reverse Repurchase Agreements,0.0012846,85037922.16351697,2022-07-31-00-00-00-000000
96,Cash & Bank Deposits,0.04975684,3293802185.133557,2022-07-31-00-00-00-000000
97,Money Market Funds,0.08247132,5459434602.89779,2022-07-31-00-00-00-000000
98,Commercial Paper and Certificates of Deposit,0.24381708,16140197626.63552,2022-07-31-00-00-00-000000
99,Other Investments(Including Digital Tokens),0.0602,3998870812.38498,2022-08-04-00-00-00-000000
100,Secured Loans(None To Affiliated Entities),0.0382,2537489452.37718,2022-08-04-00-00-00-000000
101,"Corporate Bonds, Funds & Precious Metals",0.0452,3002474430.56148,2022-08-04-00-00-00-000000
102,Non-U.S. Treasury Bills,0.0035112399999999,233239122.11426303,2022-08-04-00-00-00-000000
103,U.S. Treasury Bills,0.47555892,31589679148.792755,2022-08-04-00-00-00-000000
104,Reverse Repurchase Agreements,0.0012846,85331386.13936456,2022-08-04-00-00-00-000000
105,Cash & Bank Deposits,0.04975684,3305169023.1313868,2022-08-04-00-00-00-000000
106,Money Market Funds,0.08247132,5478274990.147204,2022-08-04-00-00-00-000000
107,Commercial Paper and Certificates of Deposit,0.24381708,16195897089.25139,2022-08-04-00-00-00-000000
108,Other Investments(Including Digital Tokens),0.0602,4001886832.382572,2022-08-05-00-00-00-000000
109,Secured Loans(None To Affiliated Entities),0.0382,2539403272.375652,2022-08-05-00-00-00-000000
110,"Corporate Bonds, Funds & Precious Metals",0.0452,3004738950.559672,2022-08-05-00-00-00-000000
111,Non-U.S. Treasury Bills,0.0035112399999999,233415035.2381226,2022-08-05-00-00-00-000000
112,U.S. Treasury Bills,0.47555892,31613504650.665733,2022-08-05-00-00-00-000000
113,Reverse Repurchase Agreements,0.0012846,85395744.59931317,2022-08-05-00-00-00-000000
114,Cash & Bank Deposits,0.04975684,3307661840.8133965,2022-08-05-00-00-00-000000
115,Money Market Funds,0.08247132,5482406803.275906,2022-08-05-00-00-00-000000
116,Commercial Paper and Certificates of Deposit,0.24381708,16208112324.949638,2022-08-05-00-00-00-000000
117,Other Investments(Including Digital Tokens),0.0602,4001886832.36993,2022-08-06-00-00-00-000000
118,Secured Loans(None To Affiliated Entities),0.0382,2539403272.36763,2022-08-06-00-00-00-000000
119,"Corporate Bonds, Funds & Precious Metals",0.0452,3004738950.55018,2022-08-06-00-00-00-000000
120,Non-U.S. Treasury Bills,0.0035112399999999,233415035.23738524,2022-08-06-00-00-00-000000
121,U.S. Treasury Bills,0.47555892,31613504650.56587,2022-08-06-00-00-00-000000
122,Reverse Repurchase Agreements,0.0012846,85395744.5990434,2022-08-06-00-00-00-000000
123,Cash & Bank Deposits,0.04975684,3307661840.8029475,2022-08-06-00-00-00-000000
124,Money Market Funds,0.08247132,5482406803.258587,2022-08-06-00-00-00-000000
125,Commercial Paper and Certificates of Deposit,0.24381708,16208112324.898438,2022-08-06-00-00-00-000000
126,Other Investments(Including Digital Tokens),0.0602,4001886832.342238,2022-08-07-00-00-00-000000
127,Secured Loans(None To Affiliated Entities),0.0382,2539403272.350058,2022-08-07-00-00-00-000000
128,"Corporate Bonds, Funds & Precious Metals",0.0452,3004738950.529388,2022-08-07-00-00-00-000000
129,Non-U.S. Treasury Bills,0.0035112399999999,233415035.23577008,2022-08-07-00-00-00-000000
130,U.S. Treasury Bills,0.47555892,31613504650.34711,2022-08-07-00-00-00-000000
131,Reverse Repurchase Agreements,0.0012846,85395744.59845248,2022-08-07-00-00-00-000000
132,Cash & Bank Deposits,0.04975684,3307661840.78006,2022-08-07-00-00-00-000000
133,Money Market Funds,0.08247132,5482406803.22065,2022-08-07-00-00-00-000000
134,Commercial Paper and Certificates of Deposit,0.24381708,16208112324.786282,2022-08-07-00-00-00-000000
135,Other Investments(Including Digital Tokens),0.0602,4001886832.3241777,2022-08-08-00-00-00-000000
136,Secured Loans(None To Affiliated Entities),0.0382,2539403272.338598,2022-08-08-00-00-00-000000
137,"Corporate Bonds, Funds & Precious Metals",0.0452,3004738950.515828,2022-08-08-00-00-00-000000
138,Non-U.S. Treasury Bills,0.0035112399999999,233415035.2347167,2022-08-08-00-00-00-000000
139,U.S. Treasury Bills,0.47555892,31613504650.20444,2022-08-08-00-00-00-000000
140,Reverse Repurchase Agreements,0.0012846,85395744.5980671,2022-08-08-00-00-00-000000
141,Cash & Bank Deposits,0.04975684,3307661840.7651324,2022-08-08-00-00-00-000000
142,Money Market Funds,0.08247132,5482406803.195909,2022-08-08-00-00-00-000000
143,Commercial Paper and Certificates of Deposit,0.24381708,16208112324.713137,2022-08-08-00-00-00-000000
144,Other Investments(Including Digital Tokens),0.0602,4001886832.3241777,2022-08-09-00-00-00-000000
145,Secured Loans(None To Affiliated Entities),0.0382,2539403272.338598,2022-08-09-00-00-00-000000
146,"Corporate Bonds, Funds & Precious Metals",0.0452,3004738950.515828,2022-08-09-00-00-00-000000
147,Non-U.S. Treasury Bills,0.0035112399999999,233415035.2347167,2022-08-09-00-00-00-000000
148,U.S. Treasury Bills,0.47555892,31613504650.20444,2022-08-09-00-00-00-000000
149,Reverse Repurchase Agreements,0.0012846,85395744.5980671,2022-08-09-00-00-00-000000
150,Cash & Bank Deposits,0.04975684,3307661840.7651324,2022-08-09-00-00-00-000000
151,Money Market Funds,0.08247132,5482406803.195909,2022-08-09-00-00-00-000000
152,Commercial Paper and Certificates of Deposit,0.24381708,16208112324.713137,2022-08-09-00-00-00-000000
153,Other Investments(Including Digital Tokens),0.0602,4058380751.854478,2022-08-15-00-00-00-000000
154,Secured Loans(None To Affiliated Entities),0.0382,2575251573.435898,2022-08-15-00-00-00-000000
155,"Corporate Bonds, Funds & Precious Metals",0.0452,3047156312.023628,2022-08-15-00-00-00-000000
156,Non-U.S. Treasury Bills,0.0035112399999999,236710113.4741116,2022-08-15-00-00-00-000000
157,U.S. Treasury Bills,0.47555892,32059786832.2376,2022-08-15-00-00-00-000000
158,Reverse Repurchase Agreements,0.0012846,86601261.027114,2022-08-15-00-00-00-000000
159,Cash & Bank Deposits,0.04975684,3354355510.450216,2022-08-15-00-00-00-000000
160,Money Market Funds,0.08247132,5559800957.94072,2022-08-15-00-00-00-000000
161,Commercial Paper and Certificates of Deposit,0.24381708,16436919342.946238,2022-08-15-00-00-00-000000
162,Other Investments(Including Digital Tokens),0.0602,4067470951.839428,2022-08-16-00-00-00-000000
163,Secured Loans(None To Affiliated Entities),0.0382,2581019773.426348,2022-08-16-00-00-00-000000
164,"Corporate Bonds, Funds & Precious Metals",0.0452,3053981512.012328,2022-08-16-00-00-00-000000
165,Non-U.S. Treasury Bills,0.0035112399999999,237240310.7132337,2022-08-16-00-00-00-000000
166,U.S. Treasury Bills,0.47555892,32131596229.038715,2022-08-16-00-00-00-000000
167,Reverse Repurchase Agreements,0.0012846,86795235.62679285,2022-08-16-00-00-00-000000
168,Cash & Bank Deposits,0.04975684,3361868793.277776,2022-08-16-00-00-00-000000
169,Money Market Funds,0.08247132,5572254127.240102,2022-08-16-00-00-00-000000
170,Commercial Paper and Certificates of Deposit,0.24381708,16473735721.965282,2022-08-16-00-00-00-000000
171,Other Investments(Including Digital Tokens),0.0602,4067470951.83401,2022-08-18-00-00-00-000000
172,Secured Loans(None To Affiliated Entities),0.0382,2581019773.4229097,2022-08-18-00-00-00-000000
173,"Corporate Bonds, Funds & Precious Metals",0.0452,3053981512.00826,2022-08-18-00-00-00-000000
174,Non-U.S. Treasury Bills,0.0035112399999999,237240310.7129177,2022-08-18-00-00-00-000000
175,U.S. Treasury Bills,0.47555892,32131596228.995914,2022-08-18-00-00-00-000000
176,Reverse Repurchase Agreements,0.0012846,86795235.62667724,2022-08-18-00-00-00-000000
177,Cash & Bank Deposits,0.04975684,3361868793.2732983,2022-08-18-00-00-00-000000
178,Money Market Funds,0.08247132,5572254127.232679,2022-08-18-00-00-00-000000
179,Commercial Paper and Certificates of Deposit,0.24381708,16473735721.94334,2022-08-18-00-00-00-000000
180,Other Investments(Including Digital Tokens),0.0602,4066477651.784646,2022-08-19-00-00-00-000000
181,Secured Loans(None To Affiliated Entities),0.0382,2580389473.391586,2022-08-19-00-00-00-000000
182,"Corporate Bonds, Funds & Precious Metals",0.0452,3053235711.971196,2022-08-19-00-00-00-000000
183,Non-U.S. Treasury Bills,0.0035112399999999,237182375.25003853,2022-08-19-00-00-00-000000
184,U.S. Treasury Bills,0.47555892,32123749506.42596,2022-08-19-00-00-00-000000
185,Reverse Repurchase Agreements,0.0012846,86774039.72562388,2022-08-19-00-00-00-000000
186,Cash & Bank Deposits,0.04975684,3361047805.372498,2022-08-19-00-00-00-000000
187,Money Market Funds,0.08247132,5570893350.385053,2022-08-19-00-00-00-000000
188,Commercial Paper and Certificates of Deposit,0.24381708,16469712739.92341,2022-08-19-00-00-00-000000
189,Other Investments(Including Digital Tokens),0.0836,5647143437.642829,2022-08-20-00-00-00-000000
190,Secured Loans(None To Affiliated Entities),0.0677,4573105391.488272,2022-08-20-00-00-00-000000
191,"Corporate Bonds, Funds & Precious Metals",0.0525,3546352039.189576,2022-08-20-00-00-00-000000
192,Non-U.S. Treasury Bills,0.0059715,403372213.37182,2022-08-20-00-00-00-000000
193,U.S. Treasury Bills,0.43448634,29349362244.933624,2022-08-20-00-00-00-000000
194,Reverse Repurchase Agreements,0.04506492,3044115636.9126687,2022-08-20-00-00-00-000000
195,Cash & Bank Deposits,0.0816105,5512753582.748207,2022-08-20-00-00-00-000000
196,Money Market Funds,0.10255056,6927245477.638722,2022-08-20-00-00-00-000000
197,Commercial Paper and Certificates of Deposit,0.12651618,8546112627.304295,2022-08-20-00-00-00-000000
198,Other Investments(Including Digital Tokens),0.0836,5647142790.929949,2022-08-25-00-00-00-000000
199,Secured Loans(None To Affiliated Entities),0.0677,4573104867.774611,2022-08-25-00-00-00-000000
200,"Corporate Bonds, Funds & Precious Metals",0.0525,3546351633.060076,2022-08-25-00-00-00-000000
201,Non-U.S. Treasury Bills,0.0059715,403372167.1774903,2022-08-25-00-00-00-000000
202,U.S. Treasury Bills,0.43448634,29349358883.83419,2022-08-25-00-00-00-000000
203,Reverse Repurchase Agreements,0.04506492,3044115288.2994604,2022-08-25-00-00-00-000000
204,Cash & Bank Deposits,0.0816105,5512752951.425701,2022-08-25-00-00-00-000000
205,Money Market Funds,0.10255056,6927244684.3281,2022-08-25-00-00-00-000000
206,Commercial Paper and Certificates of Deposit,0.12651618,8546111648.600429,2022-08-25-00-00-00-000000
207,Other Investments(Including Digital Tokens),0.0836,5647151986.929949,2022-08-26-00-00-00-000000
208,Secured Loans(None To Affiliated Entities),0.0677,4573112314.774611,2022-08-26-00-00-00-000000
209,"Corporate Bonds, Funds & Precious Metals",0.0525,3546357408.060076,2022-08-26-00-00-00-000000
210,Non-U.S. Treasury Bills,0.0059715,403372824.0424903,2022-08-26-00-00-00-000000
211,U.S. Treasury Bills,0.43448634,29349406677.3316,2022-08-26-00-00-00-000000
212,Reverse Repurchase Agreements,0.04506492,3044120245.4406605,2022-08-26-00-00-00-000000
213,Cash & Bank Deposits,0.0816105,5512761928.580701,2022-08-26-00-00-00-000000
214,Money Market Funds,0.10255056,6927255964.8897,2022-08-26-00-00-00-000000
215,Commercial Paper and Certificates of Deposit,0.12651618,8546125565.380229,2022-08-26-00-00-00-000000
216,Other Investments(Including Digital Tokens),0.0836,5647151920.464604,2022-08-29-00-00-00-000000
217,Secured Loans(None To Affiliated Entities),0.0677,4573112260.950403,2022-08-29-00-00-00-000000
218,"Corporate Bonds, Funds & Precious Metals",0.0525,3546357366.320475,2022-08-29-00-00-00-000000
219,Non-U.S. Treasury Bills,0.0059715,403372819.29490894,2022-08-29-00-00-00-000000
220,U.S. Treasury Bills,0.43448634,29349406331.89757,2022-08-29-00-00-00-000000
221,Reverse Repurchase Agreements,0.04506492,3044120209.612246,2022-08-29-00-00-00-000000
222,Cash & Bank Deposits,0.0816105,5512761863.697089,2022-08-29-00-00-00-000000
223,Money Market Funds,0.10255056,6927255883.357903,2022-08-29-00-00-00-000000
224,Commercial Paper and Certificates of Deposit,0.12651618,8546125464.794806,2022-08-29-00-00-00-000000
225,Other Investments(Including Digital Tokens),0.0836,5647213783.826736,2022-09-01-00-00-00-000000
226,Secured Loans(None To Affiliated Entities),0.0677,4573162358.433853,2022-09-01-00-00-00-000000
227,"Corporate Bonds, Funds & Precious Metals",0.0525,3546396215.9199004,2022-09-01-00-00-00-000000
228,Non-U.S. Treasury Bills,0.0059715,403377238.1593464,2022-09-01-00-00-00-000000
229,U.S. Treasury Bills,0.43448634,29349727848.47404,2022-09-01-00-00-00-000000
230,Reverse Repurchase Agreements,0.04506492,3044153557.309201,2022-09-01-00-00-00-000000
231,Cash & Bank Deposits,0.0816105,5512822254.844401,2022-09-01-00-00-00-000000
232,Money Market Funds,0.10255056,6927331769.989842,2022-09-01-00-00-00-000000
233,Commercial Paper and Certificates of Deposit,0.12651618,8546219085.802687,2022-09-01-00-00-00-000000
234,Other Investments(Including Digital Tokens),0.08360000000000001,5646820863.009964,2022-09-08-00-00-00-000000
235,Secured Loans(None To Affiliated Entities),0.06770000000000001,4572844167.772424,2022-09-08-00-00-00-000000
236,"Corporate Bonds, Funds & Precious Metals",0.052500000000000005,3546149465.4069753,2022-09-08-00-00-00-000000
237,Non-U.S. Treasury Bills,0.005971500000000001,403349172.0510048,2022-09-08-00-00-00-000000
238,U.S. Treasury Bills,0.43448634,29347685758.43111,2022-09-08-00-00-00-000000
239,Reverse Repurchase Agreements,0.04506492000000001,3043941751.7449164,2022-09-08-00-00-00-000000
240,Cash & Bank Deposits,0.08161050000000002,5512438684.697066,2022-09-08-00-00-00-000000
241,Money Market Funds,0.10255056000000001,6926849781.355923,2022-09-08-00-00-00-000000
242,Commercial Paper and Certificates of Deposit,0.12651618000000003,8545624458.520623,2022-09-08-00-00-00-000000
